Split,CaseId,Joint,RMSE_Nm,MAE_Nm,MaxAbsError_Nm,NRMSE_TrainStd,R2,ReferenceAbsPeak_Nm,PredictedAbsPeak_Nm,AbsPeakError_Nm,AbsPeakError_percent
train,112,3,0.000431534610098725,0.000322305520299591,0.00110871018476744,0.00587398456275395,0.999758827399132,0.62434609449651,0.625054801747679,0.000708707251168672,0.113511921899695
train,113,1,0.00260712537626752,0.0022577639598728,0.00539375243298812,0.00382386178460541,0.999986106956789,1.22033749330148,1.22225227135601,0.00191477805452811,0.156905615457892
train,113,2,0.00102666874580255,0.000823036523288378,0.00361103425061175,0.00262403461463089,0.999978174928827,0.721414186459368,0.722139235823706,0.000725049364338481,0.100503896090116
train,113,3,0.000601361579144165,0.000456113316680326,0.00201410417475778,0.00818564386230349,0.999962885586091,0.60973335573697,0.609611501036412,0.000121854700557367,0.0199849162606635
train,114,1,0.00243475767457288,0.00207424428535659,0.00475670910040016,0.00357105067187172,0.999988885874682,1.03894695237225,1.0408437952038,0.00189684283154423,0.18257359793136
train,114,2,0.000931756689090787,0.00077319462584154,0.00189514879854535,0.00238145148041579,0.999985581676278,0.909922602284907,0.908758898696202,0.00116370358870499,0.127890392631507
train,114,3,0.000815309383324191,0.000671985807040501,0.00167064810821266,0.0110978693700121,0.99989424655629,0.589854726627709,0.590560498037179,0.000705771409470146,0.119651734165995
validation,115,1,0.0062306198385739,0.00472822764322001,0.0137428661199941,0.00913842859726065,0.99992404591472,1.1154341647938,1.11615428768181,0.000720122888013597,0.0645598737014409
validation,115,2,0.00445300238704836,0.00361371372728296,0.0088210053106989,0.0113813072136669,0.999847885150299,0.965567988631089,0.962577528547951,0.00299046008313741,0.309709944648959
validation,115,3,0.00277705092899812,0.0023115249273492,0.00553821815962319,0.0378008018480478,0.998986469913618,0.61359797540547,0.619136193565093,0.00553821815962319,0.902580905023927
train,116,1,0.00080143704471262,0.000694154179674926,0.0017137700735525,0.00117546494539172,0.999998618149086,0.954779656084565,0.953791712570817,0.000987943513747203,0.103473456671526
train,116,2,0.000971160556778808,0.000851451843473435,0.00172177221773473,0.00248216274993328,0.999965595433498,0.647685975661004,0.648107368577994,0.000421392916989949,0.0650613002018287
train,116,3,0.000508724723653557,0.000405022181880123,0.00118029120908947,0.00692468484219289,0.99989025941045,0.632038697175816,0.632358939295859,0.000320242120042669,0.0506681191315705
validation,117,1,0.00222745259795837,0.0017533835327603,0.00419789686257444,0.00326699703201348,0.999977372186455,0.733495677170482,0.729931149516553,0.0035645276539289,0.485964371007522
