CaseID,Speed_mps,Azimuth_deg,J1_CFD_Nm,J1_MAT_Nm,J1_GPR_Nm,J1_Error_Nm,J2_CFD_Nm,J2_MAT_Nm,J2_GPR_Nm,J2_Error_Nm,J3_CFD_Nm,J3_MAT_Nm,J3_GPR_Nm,J3_Error_Nm
case_17_v040_psi30,0.4,30,-0.804817855509954,-0.641703072851608,-0.744380926527125,0.0604369289828295,-0.0924352718017831,-0.248152209108219,0.82614556987814,0.918580841679923,0.220151153528261,0.0706237556016278,-0.334660236396817,0.554811389925078
case_18_v040_psi45,0.4,45,-0.578608651855765,-0.523948364851905,-0.246944582823876,0.331664069031889,-0.00283643836947621,-0.350940212769916,0.917998908077652,0.920835346447129,0.45145486901745,0.099877056446097,-0.118732606922702,0.570187475940151
case_19_v040_psi60,0.4,60,-0.276781923477128,-0.370487441653158,0.281327111575766,0.558109035052894,-0.0267357289434097,-0.429812220887467,0.852157892589875,0.878893621533285,0.569256173386104,0.122323900948404,-0.345329585228196,0.9145857586143
case_20_v040_psi75,0.4,75,0.0705334936855284,-0.191778411565193,0.745806377061672,0.675272883376143,-0.0724123984674065,-0.479393236449816,2.93894417056115,3.01135656902856,0.662146801306869,0.136434573750882,-0.560202745438014,1.22234954674488
case_21_v040_psi90,0.4,90,0.263405324912144,3.42128657431861e-10,1.0560715537221,0.792666228809952,-0.0940155621531547,-0.496304395182891,6.05049408423721,6.14450964639037,0.757852161389777,0.141247455821032,-0.212014902712465,0.969867064102242
case_22_v060_psi00,0.6,0,-1.42496422789714,-1.66719348877252,-2.04667176204767,0.621707534150526,-0.327406241741892,-2.99214550763379e-08,1.41673129858676,1.74413754032865,-0.224442707934223,7.19436195838515e-08,-0.233574109425579,0.00913140149135588
case_23_v060_psi15,0.6,15,-1.44197993138966,-1.61038524802712,-1.99196969943542,0.549989768045759,-0.184446169942038,-0.289019345595101,1.16749274438005,1.35193891432209,0.0357045812709837,0.0822545156794099,-0.61385455692634,0.649559138197323
case_24_v060_psi30,0.6,30,-1.29227215981727,-1.44383191391612,-1.55676479885304,0.26449263903577,-0.0846820659169673,-0.558342470493492,1.06364974699283,1.14833181290979,0.385051011499925,0.158903450103663,-0.90162323056011,1.28667424206003
case_25_v060_psi45,0.6,45,-1.60370732415525,-1.17888382091679,-0.807398951774706,0.796308372380539,-2.94268221840426,-0.789615478732311,1.43613846072792,4.37882067913218,-1.65585645042666,0.224723377003718,-0.572458123226957,1.0833983271997
case_26_v060_psi60,0.6,60,2.05477559323762,-0.833596743719604,0.0108680898433214,2.04390750339429,-10.6396709396597,-0.9670774969968,1.71319220048669,12.3528631401464,-0.631962649265507,0.27522877713391,0.125231677929558,0.757194327195065
case_27_v060_psi75,0.6,75,-0.00971837181074486,-0.431501426021685,0.721588139070404,0.731306510881149,0.0819446003108235,-1.07863478201208,3.59324707857868,3.51130247826786,1.36533537623937,0.306977790939486,0.545599489741861,0.819735886497504
case_28_v060_psi90,0.6,90,0.484764438537277,7.69789479221686e-10,1.18238704058191,0.697622602044635,-0.0110768415157905,-1.1166848891615,7.9377654158497,7.94884225736549,1.41913252797627,0.317806775597321,0.871009419659571,0.548123108316702
case_29_v080_psi00,0.8,0,-2.10458785253907,-2.9638995355956,-2.49601171658557,0.391423864046497,-0.644638609321861,-5.31936979134896e-08,1.50573274956438,2.15037135888624,-0.653006056523736,1.27899768149069e-07,-0.441079138637299,0.211926917886438
case_30_v080_psi15,0.8,15,-2.16404912799206,-2.86290710760377,-2.60093451682167,0.436885388829606,-0.322509073257578,-0.513812169946846,1.27797569306241,1.60048476631999,-0.0658875202090957,0.146230250096729,-0.608638220365922,0.542750700156826
case_31_v080_psi30,0.8,30,-8.98641292995239,-2.56681229140643,-2.20916363899303,6.77724929095937,-4.90146355135295,-0.992608836432875,2.58245321467402,7.48391676602696,-3.41740627608272,0.282495022406511,-1.68006712241875,1.73733915366396
case_32_v080_psi45,0.8,45,-1.7621,-2.09579345940762,-1.33210260238234,0.429997397617659,1.334,-1.40376085107967,7.35315124107467,6.01915124107467,0.2815,0.399508225784388,-0.0476195993333886,0.329119599333389
case_33_v080_psi60,0.8,60,-0.675315184517762,-1.48194976661263,-0.354073729875785,0.321241454641977,0.562502929130967,-1.71924888354987,2.88126633470292,2.31876340557195,1.9818656543299,0.489295603793618,0.842381547599642,1.13948410673026
case_34_v080_psi75,0.8,75,-0.00108542459217334,-0.767113646260773,0.508626935612388,0.509712360204561,0.533261254940113,-1.91757294579926,1.61062808699661,1.07736683205649,2.24690237613418,0.54573829500353,-0.335759041964706,2.58266141809889
case_35_v080_psi90,0.8,90,0.475392175743248,1.36851462972744e-09,1.07613628808568,0.600744112342433,0.569545939254941,-1.98521758073156,2.47570835061709,1.90616241136214,2.46461630746197,0.564989823284126,1.25565699443909,1.20895931302288
