Split,CaseId,Joint,RMSE_Nm,MAE_Nm,MaxAbsError_Nm,NRMSE_TrainStd,R2,ReferenceAbsPeak_Nm,PredictedAbsPeak_Nm,AbsPeakError_Nm,AbsPeakError_percent
test,6,3,0.00076201399141946,0.000645243995923638,0.00150602456876392,0.0103724204674485,0.999686425701247,0.619416546842182,0.619614583154855,0.000198036312673344,0.0319714275769583
test,7,1,0.00308779099212935,0.00283857574308943,0.00491856347654129,0.00452885238321606,0.999953202353472,0.736997050712142,0.739187294891574,0.00219024417943148,0.297184931379997
test,7,2,0.00208610439411969,0.00169722060210563,0.00466582108727021,0.0053318172607121,0.999913533764834,1.0925729584182,1.08987782551029,0.00269513290790346,0.246677614262522
test,7,3,0.00173513107749117,0.00130247666212112,0.00503842142436484,0.0236183446820315,0.982279764096481,0.570704158204818,0.572121474436483,0.00141731623166452,0.24834517346479
test,8,1,0.00603633831155932,0.0051659389061617,0.0113813528773478,0.00885347655261851,0.999914883256917,1.18122980230803,1.18769647976101,0.0064666774529758,0.54745295456823
test,8,2,0.00354840300508063,0.0029995611284511,0.00968740538109714,0.00906926635300789,0.999905660136576,1.08279929454525,1.07772666565111,0.00507262889413607,0.46847360537545
test,8,3,0.00108848684368096,0.000807467395766392,0.00311377868536356,0.0148163200978943,0.999264528056071,0.648781970314325,0.648894502585803,0.000112532271477561,0.0173451601041011
test,9,1,0.00283391268625839,0.0023840275781387,0.0056534955775096,0.00415648994886695,0.999986141374853,1.27649101283711,1.27144423078947,0.00504678204763587,0.395363696013728
test,9,2,0.00202305126747183,0.00150824266379119,0.0055300135828773,0.00517066149595241,0.999959532286698,1.03996911620865,1.03475943920204,0.00520967700660813,0.50094535745453
test,9,3,0.000898753540414387,0.00073434093002868,0.00196411753244741,0.0122336987545606,0.999625090638441,0.614930129271231,0.614613499582445,0.000316629688785652,0.0514903521089295
test,10,1,0.00689725363848307,0.00568047391160609,0.0141233047221505,0.0101161780890969,0.999891743529876,1.2127328601611,1.20968480007791,0.00304806008319702,0.251338129222631
test,10,2,0.00370050782855159,0.00320168131711064,0.00641603241063132,0.00945802691815796,0.999641109057904,1.05019401969186,1.04606229494535,0.00413172474650869,0.393424897593779
test,10,3,0.00146171833893607,0.0012204647677436,0.00286362664221224,0.019896691382507,0.999630820393461,0.624663908227018,0.624079298677419,0.000584609549599158,0.0935878545085874
test,11,1,0.00574497648764835,0.00492632630467797,0.0110272472358763,0.00842613717182467,0.999949600152277,1.49704130246436,1.50349068733284,0.00644938486848523,0.430808746416587
test,11,2,0.00257725662376717,0.00181538209178567,0.0097610348681498,0.00658713983375943,0.999953052232326,0.965352217383997,0.965027438357834,0.000324779026163458,0.0336435779930743
test,11,3,0.00209630661343812,0.00182471730282852,0.00368394801247335,0.0285346120518987,0.998640017332659,0.638820572802865,0.640081798349328,0.00126122554646257,0.19743032709934
test,12,1,0.00531497049078691,0.00479644434882941,0.00862088328897948,0.00779544886142831,0.999925359267908,0.985325779355181,0.987476169915123,0.00215039055994171,0.218241581109242
test,12,2,0.0131812821421797,0.0119477105653892,0.0227129729080692,0.0336896791177352,0.999170835067795,1.10967696386014,1.10655595210239,0.0031210117577507,0.281254081989222
test,12,3,0.00119286498766751,0.00083583815165744,0.00453208500449254,0.0162370997807235,0.997904135752771,0.626800101295521,0.626734281010761,6.58202847597655e-05,0.0105010009768223
test,13,1,0.00557965841758185,0.00417390983495632,0.0152483851520244,0.00818366572945122,0.999957830785902,1.36641881378535,1.364417727098,0.00200108668734122,0.14644753622776
test,13,2,0.00264612529185398,0.00223424202673625,0.00659335216471335,0.00676315938209199,0.999919890949371,1.10077399712293,1.10273800416361,0.00196400704068078,0.178420551885679
test,13,3,0.00153483440909208,0.00120115783104298,0.00450027905315542,0.0208919363926056,0.998705855687009,0.562729826643002,0.563498504035973,0.000768677392970929,0.136597947465575
test,14,1,0.00341767243984813,0.00275112498554736,0.00711174249767854,0.00501268836320566,0.999948094743136,0.757849599820462,0.763056103665769,0.0052065038453073,0.687010172802195
test,14,2,0.00212679217433773,0.00185519514583379,0.00346051766858047,0.00543581004720836,0.999846890600189,1.02251750605008,1.02476590940679,0.00224840335671272,0.219888984140543
test,14,3,0.0010118839098349,0.00080590827318962,0.00205720457882863,0.0137736124208195,0.99956982491436,0.622578740181437,0.622679792527303,0.000101052345865993,0.0162312554772659
test,15,1,0.0023161121772297,0.00172943956508115,0.00521969811277812,0.00339703373070888,0.999979028878277,0.788656751433442,0.789293295427175,0.000636543993732697,0.080712425599062
test,15,2,0.00164643124806249,0.00141762874785926,0.00382443922998343,0.00420806867179806,0.999979349580908,0.911862070659058,0.915686509889041,0.00382443922998343,0.419409837632492
test,15,3,0.000535877276423575,0.000424249522060004,0.00145822357391379,0.00729428132895895,0.999233149868369,0.642664177933624,0.642160751184434,0.000503426749189795,0.0783343410875143
test,16,1,0.00406820569958451,0.00317719199961668,0.0119263006775592,0.00596682324838024,0.99997424048793,1.37788300253545,1.38980930321301,0.0119263006775592,0.865552492890434
test,16,2,0.00274509683443545,0.00225776626347615,0.00781367507630742,0.0070161180453989,0.999944632988375,1.02661602505513,1.02520473686812,0.00141128818700142,0.137469915972298
test,16,3,0.00129542395782876,0.00104470692482286,0.00336382916205163,0.0176331171415589,0.999445327365293,0.628949687932315,0.628981698569732,3.20106374166462e-05,0.00508953864368418
test,17,1,0.0166497584598332,0.0149290303617525,0.0308469906264233,0.0244201432263355,0.999675700779996,1.65457594841987,1.63348896102192,0.0210869873979447,1.27446476047732
test,17,2,0.00667491002620053,0.00522731425038732,0.0163686531000499,0.017060220280306,0.999608931347048,1.10060023492223,1.09577732232895,0.00482291259327616,0.438207483538923
test,17,3,0.00645443487218353,0.00570223134570957,0.0112075114440834,0.0878568020113917,0.990997015074062,0.677618111434845,0.666960169488968,0.0106579419458778,1.57285376025587
test,18,1,0.00166286610927791,0.00138366432654957,0.0028913106518893,0.00243891997909456,0.99998859527527,0.836257595345634,0.836844247641641,0.000586652296006962,0.0701521037622974
test,18,2,0.00188936018191919,0.0014058455618324,0.00507773583719817,0.00482896410076827,0.999949881230921,0.92567219204487,0.922898295105275,0.00277389693959451,0.299662986901097
test,18,3,0.000707716695384661,0.000516019111681372,0.00208777968528751,0.00963333379573351,0.999194024850748,0.650899544513197,0.650402710029673,0.000496834483524444,0.0763304395758985
test,19,1,0.00540700469505476,0.00442575213894636,0.0155973668684466,0.00793043511095047,0.999948048704726,1.40966589587126,1.39793910034935,0.0117267955219096,0.83188474348822
test,19,2,0.00497513368406787,0.00380440305525021,0.01149845797183,0.0127158083391398,0.999733858673261,0.865285134530946,0.863569086377749,0.00171604815319737,0.198321695902889
test,19,3,0.00231442117665263,0.00208129680184312,0.00448475614266308,0.0315035548603117,0.998071215452604,0.653846026429724,0.656785434798248,0.00293940836852424,0.44955666161568
test,20,1,0.00479195193662898,0.00371560820011531,0.0104600045458425,0.00702833935450184,0.999932127438056,1.1365013616111,1.13825296111678,0.00175159950567716,0.154122077178517
test,20,2,0.00897142698460649,0.00684244176159223,0.0208406418356517,0.0229298252688493,0.999535194486516,0.985684453343004,0.990017622916119,0.0043331695731158,0.439610217896774
test,20,3,0.00362384429535159,0.00306365321464593,0.0067554805940846,0.0493272264856099,0.993267041532327,0.633654857972451,0.631451602424811,0.00220325554764023,0.347705934850738
test,21,1,0.00375328336320244,0.00304296870081598,0.00887978443968884,0.00550492774532083,0.999944446302471,0.815647662752709,0.810399171839084,0.00524849091362523,0.6434752593923
test,21,2,0.00236520038407826,0.00186438654711829,0.00535819964066772,0.00604515108084655,0.999968058494829,1.01638430963755,1.01552376171769,0.000860547919860455,0.084667572265783
test,21,3,0.000784469081165453,0.000649567524968762,0.00170066640636823,0.0106780757901885,0.996959029386559,0.597608629554205,0.598718996082677,0.00111036652847252,0.185801622259172
test,22,1,0.00291987798667744,0.0023985715482052,0.00708906144706556,0.00428257495807549,0.999972370821251,0.8267868391209,0.82363838256496,0.00314845655593976,0.380806322375357
test,22,2,0.00315405167698406,0.00289592200357737,0.00484491243246798,0.00806135456112591,0.999954865813835,1.15756886965069,1.15434877011704,0.00322009953364555,0.278177792965117
test,22,3,0.00135913855032105,0.000822985708082472,0.00413488617622054,0.018500390643993,0.999604813573691,0.608083018892639,0.608519380414283,0.000436361521644613,0.0717601886727995
test,23,1,0.0237474798002739,0.0184558568470568,0.0536996953630967,0.0348303466014971,0.999072573655539,1.50478093268412,1.52238059233878,0.0175996596546555,1.16958284574104
test,23,2,0.0128478624705919,0.0101151162595634,0.0341470916884549,0.0328375008830104,0.996394753678797,0.897017052813121,0.898318621432689,0.00130156861956754,0.145099651727435
test,23,3,0.00664456148310965,0.00531133778074471,0.0178310866956857,0.0904447769997553,0.996095608831544,0.637322180202353,0.644307485805946,0.00698530560359301,1.09603993405268
test,24,1,0.00318897708922314,0.00279011619865247,0.00512811462484339,0.00467726168233624,0.999957932858367,0.743708113996415,0.741737931343805,0.00197018265261018,0.264913427127094
test,24,2,0.00197546276737564,0.0016024429882144,0.00401996889497425,0.0050490313479409,0.999978147223618,1.11106897150191,1.11462886939572,0.00355989789381517,0.320402961933408
test,24,3,0.000449634009447152,0.000375968449762001,0.000736248646127535,0.00612035087933619,0.999974868216041,0.601817182750655,0.601963585772265,0.000146403021610397,0.0243268264527195
test,25,1,0.00343508737773206,0.00294372697683064,0.00681152963596621,0.00503823079245046,0.999975222496936,1.06302237389457,1.0684252352708,0.00540286137623114,0.508254718707077
test,25,2,0.00239934068587511,0.00223217093514868,0.00342520046704337,0.00613240934602228,0.999716664094641,0.608408708656486,0.605744886463998,0.00266382219248751,0.437834329881614
test,25,3,0.000563575058460601,0.00042576639160538,0.00131591964092059,0.00767129939495089,0.99983881585476,0.640730042152153,0.641098363550771,0.000368321398617977,0.0574846463232501
